2026-08-21T06:47:32.203Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.214Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.224Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.236Z INFO  Moving: huge_creature floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.247Z INFO  Moving: gargantuan__creature_floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.258Z INFO  Moving: Medium Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.269Z INFO  Moving: large_creature_Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.280Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.426Z INFO  Moving: Gargantuan Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.438Z INFO  Moving: Silver Dragon Wyrmling presupported.stl → Dragon/Chromatic/
2026-08-21T06:47:32.449Z INFO  Moving: Silver Dragon Wyrmling.stl → Dragon/Chromatic/
2026-08-21T06:47:32.460Z INFO  Moving: Large Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.471Z INFO  Moving: Bahamut body.stl → Dragon/Metallic/
2026-08-21T06:47:32.483Z INFO  Moving: Bahamut face.stl → Dragon/Metallic/
2026-08-21T06:47:32.494Z INFO  Moving: Bahamut left wing.stl → Dragon/Metallic/
2026-08-21T06:47:32.505Z INFO  Moving: Bahamut right wing.stl → Dragon/Metallic/
2026-08-21T06:47:32.516Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.526Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.537Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.547Z INFO  Moving: medium creature Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.558Z INFO  Moving: large_creature_Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.569Z INFO  Moving: huge_creature floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.579Z INFO  Moving: gargantuan__creature_floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.591Z INFO  Moving: Brass Dragon Wyrmling presupported.stl → Dragon/Chromatic/
2026-08-21T06:47:32.602Z INFO  Moving: Brass Dragon Wyrmling.stl → Dragon/Chromatic/
2026-08-21T06:47:32.612Z INFO  Moving: huge_creature floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.623Z INFO  Moving: gargantuan__creature_floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.633Z INFO  Moving: large_creature_Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.643Z INFO  Moving: medium creature Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.654Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.664Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.676Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.724Z INFO  Moving: huge_creature.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.736Z INFO  Moving: large_creature.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.765Z INFO  Moving: gargantuan_creature.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.776Z INFO  Moving: large_creature_Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.787Z INFO  Moving: huge_creature floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.798Z INFO  Moving: gargantuan__creature_floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.809Z INFO  Moving: Medium Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.821Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.832Z INFO  Moving: Gargantuan Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.845Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.857Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.868Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.879Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.891Z INFO  Moving: Gargantuan Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.904Z INFO  Moving: Large Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.915Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.926Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.936Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.947Z INFO  Moving: gargantuan__creature_floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.958Z INFO  Moving: huge_creature floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.968Z INFO  Moving: medium creature Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.979Z INFO  Moving: large_creature_Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:32.989Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.000Z INFO  Moving: Gargantuan Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.010Z INFO  Moving: Large Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.020Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.031Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.043Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.054Z INFO  Moving: Gargantuan Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.064Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.074Z INFO  Moving: gargantuan__creature_floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.085Z INFO  Moving: medium creature Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.096Z INFO  Moving: large_creature_Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.107Z INFO  Moving: huge_creature floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.117Z INFO  Moving: huge_creature.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.127Z INFO  Moving: gargantuan_creature.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.138Z INFO  Moving: large_creature.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.148Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.158Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.169Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.180Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.191Z INFO  Moving: Red Dragon Wyrmling.stl → Dragon/Chromatic/
2026-08-21T06:47:33.203Z INFO  Moving: Young_Red_Dragon.stl → Dragon/Chromatic/
2026-08-21T06:47:33.213Z INFO  Moving: Gargantuan Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.223Z INFO  Moving: gargantuan__creature_floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.234Z INFO  Moving: huge_creature floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.245Z INFO  Moving: medium creature Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.256Z INFO  Moving: large_creature_Floating.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.266Z INFO  Moving: Gargantuan Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.278Z INFO  Moving: Large Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.289Z INFO  Moving: Huge Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.300Z INFO  Moving: gargantuan__creature_flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.311Z INFO  Moving: huge_creature flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.322Z INFO  Moving: large_creature_Flying.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.333Z INFO  Moving: Drider presupported.stl → Unsorted/
2026-08-21T06:47:33.345Z INFO  Moving: Drider.stl → Unsorted/
2026-08-21T06:47:33.356Z INFO  Moving: Female Drider.stl → Unsorted/
2026-08-21T06:47:33.368Z INFO  Moving: Male Drider presupported.stl → Unsorted/
2026-08-21T06:47:33.380Z INFO  Moving: Queen Drider 2.stl → Unsorted/
2026-08-21T06:47:33.392Z INFO  Moving: Queen Drider presupported.stl → Unsorted/
2026-08-21T06:47:33.404Z INFO  Moving: Queen Drider.stl → Unsorted/
2026-08-21T06:47:33.416Z INFO  Moving: Male Drider.stl → Unsorted/
2026-08-21T06:47:33.428Z INFO  Moving: Momma Long Leg Drider.stl → Unsorted/
2026-08-21T06:47:33.440Z INFO  Moving: Dretch.stl → Unsorted/
2026-08-21T06:47:33.450Z INFO  Moving: Large Creature Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.462Z INFO  Moving: Nalfeshnee presupported.stl → Fiend/Demon/
2026-08-21T06:47:33.473Z INFO  Moving: Naslfeshnee Bottom.stl → Unsorted/
2026-08-21T06:47:33.486Z INFO  Moving: Naslfeshnee Left Wing.stl → Unsorted/
2026-08-21T06:47:33.498Z INFO  Moving: Naslfeshnee Right Wing.stl → Unsorted/
2026-08-21T06:47:33.509Z INFO  Moving: Naslfeshnee Tail.stl → Unsorted/
2026-08-21T06:47:33.521Z INFO  Moving: Naslfeshnee Top.stl → Unsorted/
2026-08-21T06:47:33.533Z INFO  Moving: Naslfeshnee for Shapeways.stl → Unsorted/
2026-08-21T06:47:33.545Z INFO  Moving: Nalfeshnee COMBINED.stl → Fiend/Demon/
2026-08-21T06:47:33.557Z INFO  Moving: Nalfeshnee presupported.stl → Fiend/Demon/
2026-08-21T06:47:33.569Z INFO  Moving: Balor 2 .stl → Fiend/Demon/
2026-08-21T06:47:33.581Z INFO  Moving: Balor Updated.stl → Fiend/Demon/
2026-08-21T06:47:33.593Z INFO  Moving: Balor Updated.stl → Fiend/Demon/
2026-08-21T06:47:33.604Z INFO  Moving: Balor in Combat.stl → Fiend/Demon/
2026-08-21T06:47:33.616Z INFO  Moving: Huge Creature.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.629Z INFO  Moving: Updated Balor Head and chest.stl → Fiend/Demon/
2026-08-21T06:47:33.641Z INFO  Moving: Updated Balor Left Arm.stl → Fiend/Demon/
2026-08-21T06:47:33.652Z INFO  Moving: Updated Balor Left Wing.stl → Fiend/Demon/
2026-08-21T06:47:33.664Z INFO  Moving: Updated Balor Legs.stl → Fiend/Demon/
2026-08-21T06:47:33.677Z INFO  Moving: Updated Balor Right Arm.stl → Fiend/Demon/
2026-08-21T06:47:33.689Z INFO  Moving: Updated Balor Right Wing.stl → Fiend/Demon/
2026-08-21T06:47:33.701Z INFO  Moving: Updated Balor Sword.stl → Fiend/Demon/
2026-08-21T06:47:33.714Z INFO  Moving: Updated Balor Whip.stl → Fiend/Demon/
2026-08-21T06:47:33.726Z INFO  Moving: Barlgura Updated One piece.stl → Unsorted/
2026-08-21T06:47:33.738Z INFO  Moving: Chasme  Right  Half.stl → Humanoid/Orc/
2026-08-21T06:47:33.750Z INFO  Moving: Chasme Left Arm.stl → Unsorted/
2026-08-21T06:47:33.763Z INFO  Moving: Chasme Left Half.stl → Humanoid/Orc/
2026-08-21T06:47:33.775Z INFO  Moving: Chasme Left Leg  Rear.stl → Unsorted/
2026-08-21T06:47:33.786Z INFO  Moving: Chasme Left Leg Front.stl → Unsorted/
2026-08-21T06:47:33.797Z INFO  Moving: Large Creature Flying Marker.stl → ../Utility/Size Markers/
2026-08-21T06:47:33.808Z INFO  Moving: Chasme Left Wing  Rear.stl → Unsorted/
2026-08-21T06:47:33.821Z INFO  Moving: Chasme Left Wing Front.stl → Unsorted/
2026-08-21T06:47:33.832Z INFO  Moving: Chasme Needle.stl → Unsorted/
2026-08-21T06:47:33.843Z INFO  Moving: Chasme RIight Wing  Rear.stl → Unsorted/
2026-08-21T06:47:33.855Z INFO  Moving: Chasme Right  Leg  Rear.stl → Unsorted/
